Source,Type,Text Content,Figure Number,Image Key,Image URL,Image Description
MMD,Text,"~ we often refer to preapical teeth on the upper
7 margin instead of teeth of the pollex. Other terms used herein are the condylar ridge, which
arises near the mandibular condyle and extends toward the apex of the mandible, and the outer
~ ridge, which is the next ridge above the condylar ridge on the outer surface of the mandible.",NA,NA,NA,NA
MMD,Text,"~ The bee proboscis is a complex structure formed from a fusion of the maxilla and labium,
we which together make up the “labiomaxillary complex.” The maxilla consists of paired cardines
(singular: cardo) that suspend the labiomaxillary complex from beneath the head capsule, the
~ stipes, blade-like galea (plural: galeae), and the maxillary palpus (plural: palpi) with up to six",NA,NA,NA,NA
MMD,Text,"= segments [Figs. 6, 7]. Attached at the apex of the
hs cardines is the labium, which consists of the lorum,
e mentum, prementum, tongue-like glossa, and (typically)
four-segmented labial palpus [Fig. 6]. In Colletidae the
~ glossa is quite different from that of other bees [Fig. 8,
~ 9]. Rather than being slender and elongate, as in most
ka other bee families, the colletid glossa is short and",NA,NA,NA,NA
MMD,Text,"bilobed (sometimes referred to as “bifid”). This
~ modification of the glossa is related to the application of
a the thick, cellophane brood cell lining that characterizes
~ colletid bees (Batra 1980).
Bees can be divided into two broad categories
~ based on mouthpart morphology: short-tongued bees
~ (Andrenidae, Halictidae, Colletidae, Stenotritidae, and",NA,NA,NA,NA
MMD,Text,"~ Melittidae), in which the labial palpal segments are all
v similar in morphology (Fig. 8), and long-tongued bees
(Apidae and Megachilidae), in which the first two labial
~ palpal segments are slender and blade-like (Fig. 6).
~ Danforth et al. (2019) provide a more detailed
_ description of the proboscis and how it functions.
The proboscis is typically folded beneath the",NA,NA,NA,NA
MMD,Text,"~ head capsule, making it very difficult to distinguish
~ among the complex and interconnected elements.
~ However, if the mouthparts are pulled before pinning, while the specimen is still flexible, the
o individual elements can be easily recognized. In some cases, it is necessary to examine the
maxillary and labial palpi and to count the number of palpal segments (e.g., in certain Eucerini).",NA,NA,NA,NA
MMD,Text,"~ It can also be useful to be able to identify the blade-like, first two labial palpal segments in long-",NA,NA,NA,NA
MMD,Text,"Qrotvon Wrene ~
on Crowe, ¥
tongued bees as a tool for knowing whether you are examining a short-tongued or long-tongued
bee. But this is by no means essential for using the keys to the genera. Chapter 11 (Key to the ~
Families of North and Central America), however, makes heavy use of mouthpart characters ~
because these characters are defining features of the bee families. sl",NA,NA,NA,NA
MMD,Text,"MESOSOMA (Figs. 11-18) ~
The mesosoma is a compact structure consisting of sclerites of the pro-, meso- and ~
metathoracic segments, which bear the legs and wings, and the first true abdominal segment, WJ
termed the propodeum [Figs. 13 and 14]. The prothorax in bees is represented primarily by the
large pronotum, which extends laterally and meets ventrally behind the forecoxae, forming a ~",NA,NA,NA,NA
MMD,Text,"tubelike structure. The pronotal lobe is a useful landmark, and its shape and location may be used ~
in generic identification. The mesothorax and metathorax bear the wings and the second and is
third pairs of legs. In dorsal view [Fig. 14], the mesothorax can be divided into four distinct
sclerites: the scutum, the scutellum, and paired axillae. Dorsally, the metathorax consists of a ~",NA,NA,NA,NA
MMD,Text,"single sclerite, the metanotum. Laterally [Fig. 13], the mesothorax is represented by the ~
mesepisternum, sometimes referred to as the mesopleuron. The mesepisternum is sometimes ~
divided by the pre-episternal groove into the pre-episternum (or pre-episternal area) and the rest
of the mesepisternum. The shape and location of the pre-episternal groove, the scrobal groove, ~",NA,NA,NA,NA
MMD,Text,"and the scrobe are often important in generic identification. The metepisternum (or metapleuron) ~
forms the lateral surface of the metathorax. The wing bases are located above the upper margins ~
of the mesepisternum and the metepisternum. Js
<a
~
The form and subdivisions of the propodeum are not easy to illustrate but are exceedingly ~",NA,NA,NA,NA
MMD,Text,"important for identification. Many bees have a pair of impressed lines on the propodeum, Ww
beginning near the anterior dorsolateral parts of the propodeum and extending downward and
posteromesially and nearly meeting in the propodeal pit [Fig. 149], a median depression of the ~
lower posterior surface. These lines, together with the anterior dorsal margin of the propodeum, ~",NA,NA,NA,NA
MMD,Text,"enclose the triangular area, or propodeal triangle [Fig. 149]. Morphologically, this triangle is the ww
metapostnotum (Brothers 1976). The shape of the propodeum as seen in profile is quite
independent of the triangle. The whole propodeum may be vertical or nearly so, dropping from ~
the posterior margin of the metanotum. In this case it is termed declivous. However, as in Fig. ~",NA,NA,NA,NA
MMD,Text,"13, there may be a more or less horizontal basal region. In Fig. 13 it is separated by a sharp line, ~",NA,NA,NA,NA
MMD,Text,"~ or carina, from the declivous posterior surface. When such is the case, the horizontal part is
~ called the basal zone, or basal area, of the propodeum [Fig. 13]. It is part of the propodeal
~ triangle. The term ""basal area"" is applicable even if no
es sharp line separates the horizontal from the vertical
surfaces. In some bees the two surfaces are continuously",NA,NA,NA,NA
MMD,Text,"~ rounded, one onto the other in a broad curving surface; in
~ that case the term “basal area” is not definable unless there
~ is distinctive surface sculpturing.",NA,NA,NA,NA
MMD,Text,"Wings are illustrated, and the veins labeled, in
~ Figs. 15 and 16, using a modified Comstock and Needham
~ system. Because the homologies of the veins are not very
~ certain, as well as because some comparable-looking veins
- have very different morphological names, it has seemed",NA,NA,NA,NA
MMD,Text,"best to continue the use of some terms that are
~ morphologically noncommittal for certain cells and veins
ad heavily used in taxonomy. The names of cells and certain
e noncommittal names for veins are shown in Figs. 17 and
18.
~ Of special importance are three veins that all look
~ like crossveins: the second abscissa of Rs (or first",NA,NA,NA,NA
MMD,Text,"~ transverse cubital), first r-m (or second transverse cubital),
¥ and second r-m (or third transverse cubital), to use the
Comstock and Needham system. These veins help to
~ define the submarginal cells, which are usually either
~ three or two in number. It is important to note that
- submarginal cells can be variable within species. While",NA,NA,NA,NA
MMD,Text,"the vast majority of individuals within a species exhibit
~ the “typical” wing venation pattern for that species, there
~ are developmental anomalies that can result in non-
ww typical patterns of wing venation. Scarpulla (2018)
identified a number of such wing vein anomalies in
~ species of Colletidae, Andrenidae, Halictidae and
~ Apidae. These wing vein anomalies are commonly",NA,NA,NA,NA
MMD,Text,"~ expressed as a loss of the second transverse cubital vein
o in which a bee species that typically has three
submarginal cells instead has two. In some cases individuals can have normal wing venation on
~ one side of the body and non-typical wing venation on the other. If you suspect you have a
~ specimen with such a wing vein anomaly, the best solution is to compare it to other individuals",NA,NA,NA,NA
MMD,Text,= of the same species to verify what is the “normal” pattern.,NA,NA,NA,NA
MMD,Text,"Wings are described as though spread, so that the direction toward the costal margin
~ (where the stigma is in the forewing) is called anterior; toward the wing apex, distal. To save
~ space, the word stigma is used in place of pterostigma [Fig. 15].
~ The jugal and vannal lobes of the hind wing are both measured from the wing base to the",NA,NA,NA,NA
MMD,Text,"v apices of the lobes. Thus, on Fig. 18 one might say that the jugal lobe is about two-thirds as long",NA,NA,NA,NA
MMD,Text,as the vannal.,NA,NA,NA,NA
MMD,Text,"Some authorities advocate a system for identifying parts of legs that assumes that all legs ~
are pulled out laterally at right angles to the long axis of the body. Although we appreciate the ~
logic of that system, we follow the more traditional system in which the legs are considered to be ~
in their normal positions. Thus, we consider the corbicula of Apidae [Fig. 22] to be on the outer, eis",NA,NA,NA,NA
MMD,Text,"not the anterior, surface of the hind tibia, and we consider the two hind tibial spurs to be outer
and inner, not anterior and posterior. ~",NA,NA,NA,NA
MMD,Text,"The tibial spurs are the movable inferior apical spurs on the tibiae; the tibial spines are ”
immovable, sharp, superior, apical projections, usually small in size, found in some bees (see ~
Fig. 11 and Michener 1944). Description of the tibial spurs is important in many bees; this is ws
especially so of the inner hind tibial spur. This spur usually has two toothed margins. It is the",NA,NA,NA,NA
MMD,Text,"inner one that is commonly elaborated in various ways. It may be finely or coarsely serrate. ~
Following custom, we have described this margin as ciliate if it has slender, almost hairlike ~
projections (usually numerous), although in many cases the appearance is like that of a fine ¥
comb. Also following custom, we have described a spur as pectinate if its inner margin is",NA,NA,NA,NA
MMD,Text,"produced into a few long, coarse, often blunt projections [Fig. 154], even though the number of ~
such projections is in some cases reduced to only two or three. ~",NA,NA,NA,NA
MMD,Text,"The basitibial plate is a plate on the outer side of the ead
base of the hind tibia of many bees [Figs. 11, 174, and 175],
presumably important for support as bees move up or down we
their burrows in the soil. Commonly it is surrounded by a ~
carina or a sharp line of some sort and has vestiture (if any) —
different from that of adjacent regions, but it may be ws",NA,NA,NA,NA
MMD,Text,"indicated only by a series of tubercles, or even by a single
tubercle, and in some cases (as in Xvlocopa) its apex is ~
represented by a structure near the middle of the tibia. ~",NA,NA,NA,NA
MMD,Text,"On the inner surface of the hind tibia of most bees is w
an area of variable size covered with hairs of uniform length,
usually blunt or briefly bifid. These are called keirotrichia. ~

Between the tarsal claws there is often a protruding, ~
pad-like arolium (plural: arolia) [Fig. 12]. The arolium can Y
be lacking in some taxa, such as Megachile, Ptilothrix,

Euglossini, and Centridini. ~",NA,NA,NA,NA
MMD,Text,"The scopa (plural: scopae) is the pollen-carrying ~
brush of hairs. If such hairs surround a space in which pollen ~
is carried, they are said to form a corbicula. The best known w
corbicula is on the outer side of the hind tibia of Apidae, but
other corbiculae are on the underside of the hind femur of Andrenidae, Halictidae, Colletidae, ~",NA,NA,NA,NA
MMD,Text,"and others and on the side of the propodeum of many species of Andrena. In most bees the scopa bad
is on the hind legs, but in Megachilidae and some others it is on the underside of the metasoma. ww
Scopae are, of course, found only on nonparasitic females; in the keys, we do not state this fact
in every case. Scopae are absent in parasitic bees, in all male bees, in queens of highly social ~",NA,NA,NA,NA
MMD,Text,"bees, and in Hylaeus. teal",NA,NA,NA,NA
MMD,Text,"~ METASOMA (Figs. 19-22)
~ Each metasomal tergum or sternum (except for the anteriormost and the reduced apical
v ones) consists of a plate commonly marked by some transverse lines, as follows: (1) Across the
anterior margin, always completely hidden in the intact metasoma, is the antecosta. (2) Basal to",NA,NA,NA,NA
MMD,Text,"~ the middle of each plate is another transverse line, the gradulus (plural: graduli; Fig. 19). The
» ends of the tergal graduli, unless bent strongly to the rear, are usually near the spiracles. If bent
~ strongly to the rear, the resultant longitudinal lines are called lateral parts or lateral arms of the",NA,NA,NA,NA
MMD,Text,"graduli or, if carinate, lateral gradular carinae. The area anterior to the gradulus is usually at a
~ slightly higher level than that posterior to it, so that the gradulus is like a minute step. The
~ elevated, pre-gradular area provides a smooth surface for the anterior tergum or sternum to move
~ across as the metasoma moves and changes shape. The graduli are often concealed on the intact",NA,NA,NA,NA
MMD,Text,"- metasoma but, especially on the second tergum and sternum, are sometimes exposed. (3) Near
the posterior margin of each tergum and sternum is usually another transverse line, the
~ premarginal line, separating the posterior marginal area from the rest of the sclerite. This area is
w often depressed but in other cases differs only in sculpturing from the area basal to it.",NA,NA,NA,NA
MMD,Text,"we The pygidial plate [Fig. 19] is a usually flat plate, commonly surrounded by a carina or a
line and in some cases produced as an apical projection, on T6 of females or T7 of males. The
~ prepygidial fimbria is a dense band of hairs across the apex of T5 of females. It is conspicuously
~ different from, usually denser than, the apical hair bands or fasciae of preceding terga. Dense",NA,NA,NA,NA
MMD,Text,"~ hairs on T6 of females, on each side of the pygidial plate, constitute the pygidial fimbria [Fig.
ko 19].
~ The genital capsule [Fig. 20] as well as S7 and S8
¥ [Figs. 21, 22] of male bees exhibit many diagnostic characters
and may be dissected out for study (in fact, for some groups,
~ species-level identifications may require examination of male",NA,NA,NA,NA
MMD,Text,"~~ S7, S8 or the genital capsule). In some groups the sixth, fifth,
~ and even the fourth sterna are also hidden and modified. On a
freshly relaxed specimen it is usually possible to reach between the apical exposed tergum and
~ sternum and, with a hooked needle, pull out the genitalia and hidden sterna. In most cases such",NA,NA,NA,NA
MMD,Text,"~
-
~~
dissection is not difficult, but in the Megachilidae the numerous hidden sterna are firmly
connected to one another and to the terga laterally and are often delicate medially, so that ~
successful dissection may be difficult. Beginners should start with other groups. Y
For gross observations, sterna and genitalia may be preserved dry, glued to a card on the Ww",NA,NA,NA,NA
MMD,Text,"pin with the specimen. For more detailed study, they should be immersed in a solution of 10%
sodium or potassium hydroxide to remove the muscle tissue, then washed in water, and placed
for study in glycerin, and transferred for preservation to microvials, kept with the specimen by ~
running the pin through the stopper. Preservation on slides has the disadvantage of making side ww",NA,NA,NA,NA
MMD,Text,"views impossible, as well as crushing the genitalia, which are often quite thick. Y
_
-_
~~
~~
~~
-_
-_
~~
~
~~
~~
-_
—
~
—_—
-—
~_
~
~
—_—",NA,NA,NA,NA
MMD,Text,"~ Chapter 12 -- Notes on the genera

~ [updated 07/08/22 BND JLN]

ww The notes below are intended to supplement the keys in that they should help the user decide
whether they have successfully identified a specimen to genus. The notes are organized

~ according to the classification of bee genera presented in Table 2-1. The brief family",NA,NA,NA,NA
MMD,Text,"baad characterizations, as well as the “Key to the Families,” are probably accurate for our area but not

w necessarily worldwide. For a worldwide treatment of genera, see Michener (2007).

~ DESCRIPTIVE TERMS. For each genus, there are comments on appearance and sometimes on

~ distinguishing features other than those noted in the keys. General body shape is described in",NA,NA,NA,NA
MMD,Text,"w terms (listed below) such that with a single word a person who knows a few common bee genera

oe can get an idea of what an unknown genus looks like. Body forms are best appreciated in dorsal
view. Additional comments on color and pilosity are added to the descriptions below, where

~ useful.

ww andreniform—body form of Andrena [Figs. 421-424], Halictus [Figs. 439 and 440], or Colletes",NA,NA,NA,NA
MMD,Text,"v [Fig. 417]. Male often more slender, with more parallel-sided metasoma, than female.

~ anthophoriform—body form of Anthophora [Figs. 473 and 474]. Robust, with head and

w mesosoma hairy, enhancing the aspect of robustness; metasoma beyond first segment usually

Ww with little erect hair.

~ apiform—body form of workers of Apis mellifera [Fig. 507]. That is, more robust than",NA,NA,NA,NA
MMD,Text,"~ andreniform and more slender than euceriform.

~ bombiform—body form of Bombus [Figs. 508 and 509]. Like anthophoriform but metasoma

~ with much erect hair, like mesosoma.

w epeoliform—body form of Epeolus or Triepeolus [Fig. 493]. Somewhat more robust than",NA,NA,NA,NA
MMD,Text,"vu Nomada but nonetheless wasplike parasitic bees; scopa absent; body often with areas of short,
pale pubescence forming a conspicuous pattern.

Y euceriform—body form of Melissodes [Figs. 481 and 482]. Similar to anthophoriform but

v somewhat less robust.

~ heriadiform—body form of Hoplitis [Fig. 471], Heriades [Figs. 469 and 470], or Megachile",NA,NA,NA,NA
MMD,Text,"~ (Chelostomoides) [Fig. 465]. Similar to megachiliform but more slender, metasoma parallel

oe sided.

~ hylaeiform—body form of Hylaeus [Fig. 420]. Slender, hairs inconspicuous without

~ magnification, scopa inconspicuous or absent.",NA,NA,NA,NA
MMD,Text,"- megachiliform—body form of Megachile (Megachile) [Figs. 463 and 464], Osmia [Fig. 472], or
Dianthidium [Fig. 457]. Heavy body, thick head, metasoma rather wide, not parallel sided.",NA,NA,NA,NA
MMD,Text,"nomadiform—body form of Nomada [Figs. 498 and 499]. Slender, wasplike, not noticeably
hairy, often with yellow or red markings or entirely red or yellow; scopa absent. ~
—
trigoniform—body form of Trigona [Fig. 519] and its relatives. Metasoma small or slender; J
body not conspicuously hairy, that is, hairs short and metasoma usually shiny. ”",NA,NA,NA,NA
MMD,Text,"Many bees do not fall unequivocally into one of the above categories. Much of a ~
specimen's appearance depends on how full the crop was when the specimen was killed, how wy
much the metasoma has telescoped in drying, and so forth. Nonetheless, we think that these wy
terms may be useful to give an idea of the characteristic aspect of a genus.",NA,NA,NA,NA
MMD,Text,"CONTENT OF THE NOTES. The notes and keys give characteristics of species within our area, ~
which is America north of the Colombia-Panama border, including the Antilles (i.e., North VY
America). Extralimital species may not agree with all characters listed. Under each family, taxa
are arranged according to Table 2-1, which provides a complete classification at the family, ~",NA,NA,NA,NA
MMD,Text,"subfamily, tribal, and generic levels. For more detailed information on each genus as well as baad
additional taxonomic notes on the subgenera, see Michener (2007). ww
In most bees the integument is black. If it is extensively colored otherwise (e.g., red,
yellow, or metallic blue or green), it is noted. Hairiness, when mentioned, refers to long hairs, ~",NA,NA,NA,NA
MMD,Text,"giving a more robust and fuzzy aspect, unless otherwise indicated. ~
For each genus, after listing some morphological characteristics, the notes give a Y
subjective idea of abundance, based on collecting experience. In Table 2-1 we provide an UY
estimate of the number of species in our area (Canada, United States, Mexico, Guatemala,",NA,NA,NA,NA
MMD,Text,"Belize, E] Salvador, Honduras, Nicaragua, Costa Rica, Panama, and the Greater and Lesser ~
Antilles) based on information provided in Ascher and Pickering 2020 (Discover Life: bad
https://www.discoverlife.org/mp/20q?search=A poidea [note version and date in final draft]). ww
Next, the notes indicate the range (and sometimes habitat) of the genus within our area,",NA,NA,NA,NA
MMD,Text,"including a rough indication of the more extensive neotropical range, if applicable, followed by a ~
parenthetical notation if the range is more extensive—for example, holarctic or cosmopolitan. ~
The word Mesoamerica as used here means Mexico and Central America, including Panama. Ww
The word tropical is frequently used and refers to lowland areas, usually moist or mesic, in UY",NA,NA,NA,NA
MMD,Text,"Mesoamerica. Additional details on the biogeography of each genus can be found in Michener
(2007). ~
Most bees are solitary, that is, with one female per nest, and the nests are burrows in the ~
ground made by the bees (Danforth et al. 2019). Sometimes nests occur in large and dense ww
aggregations, but the bees are nonetheless considered solitary. Notation is made of genera that",NA,NA,NA,NA
MMD,Text,"include some species or populations that are social, either cooperatively breeding or eusocial (as ~
defined in Danforth et al. 2019) or that nest in different sites or substrates. Nests are unknown for bad
certain genera. A review of known immature stages was made by McGinley (1989) but larval w
bees from additional genera have since been described by Rozen and others. w",NA,NA,NA,NA
MMD,Text,"Many groups of solitary bees are host-plant specialists (also referred to as “oligolectic”
bees), meaning they visit a small group of closely related host-plants for pollen. For these asl
specialist groups we list the likely host-plant genera and families upon which they specialize. For ~
“oil bees”, bees that collect floral oils for brood cell lining and pollen provisions, we also list the ww",NA,NA,NA,NA
MMD,Text,"floral hosts that serve as a source for the oils as well as morphological modifications associated
with oil collecting. ~
—
~~
—
-_
~~",NA,NA,NA,NA
MMD,Text,"Brood parasites, also called cuckoo bees or cleptoparasites, have no pollen-harvesting or

~ pollen-carrying structures. Brood parasites enter nests of their hosts, lay eggs in the host cells,

~ and leave (Danforth et al. 2019). In most cases, brood parasitic females oviposit in open cells",NA,NA,NA,NA
MMD,Text,"ws but, in some genera, females open previously closed cells. Adults or larvae of the brood parasite
kill the host egg or larva and the brood parasitic larva consumes the pollen-nectar provisions

~ collected by the host bee. Approximately 13% of currently described bee species are brood

baal parasites (Danforth et al. 2019). Nearly all brood parasitic genera have a narrow, well-defined",NA,NA,NA,NA
MMD,Text,"w host range. We indicate in the notes below the presumed host range of each of the brood parasitic

vw genera. In social parasites, females remain in the nests of their social hosts and become, in effect,
members of the colony. Social parasites are known within the genera Bombus (subgenus

~ Psithyrus) and Lasioglossum (some species of the subgenus Dialictus; parasitic species were",NA,NA,NA,NA
MMD,Text,"w formerly placed in the subgenus Paralictus).

w Interested readers should refer to Michener (2007) for the subgeneric classification of
each genus and relevant keys to subgenera, often organized by geographic region. Keep in mind

~ that subgeneric classifications are generally less stable than the generic classification we have",NA,NA,NA,NA
MMD,Text,"~ used here and that changes may have been made to the subgeneric classification of certain genera

ww following the publication of Michener (2007). For example, Lasioglossum (Gibbs et al. 2013)
and Hoplitis (Sedivy et al. 2013) have both undergone taxonomic revisions that impact the

~ subgeneric groupings currently recognized. In such cases, we have indicated this in the entries",NA,NA,NA,NA
MMD,Text,"~ below. For genera whose subgenera are often given generic status, such as Lasioglossum, we

ww give keys to subgenera, or when there are only two such subgenera in our area, we give

w distinguishing characters.

Under “Revision(s)” we list reviews, keys, and so forth, as well as full revisions;

~ sometimes we give a reference to a relevant work even if it lacks keys to species. To avoid",NA,NA,NA,NA
MMD,Text,"id repetition, the major faunal work (Mitchell 1960, 1962), which includes keys to species as well

v as descriptions of the species found east of the Mississippi River (i.e., eastern USA and Canada),
is not cited under each genus; however, that work contains a “revision” of each genus for that

~ area. For many genera in the eastern USA, Discover Life (https://www.discoverlife.org) has",NA,NA,NA,NA
MMD,Text,"~ online keys to species that we highly recommend. However, for some genera (e.g.,

~ Lasioglossum) these keys may be incomplete, especially for areas west of the Mississippi River

‘oe or south of the US-Mexican border. Additional keys for groups which include non-native species
can be found here: https://idtools.org/id/bees/exotic/index.php. Finally, in parentheses, we show",NA,NA,NA,NA
MMD,Text,"~ the couplet or couplets to which the genus runs in the keys.

Y Synonymous names exist for many genera. We list those names that have been in recent

o use and that might cause confusion.

- Family Andrenidae

ka Glossa short to long, pointed, with or without flabellum. Labial palpus with segments usually
similar, but some species with elongate mouthparts may have greatly elongated labial and",NA,NA,NA,NA
MMD,Text,"~ maxillary palpi (for example, Andrena micheneriana LaBerge, Calliopsis zonalis Cresson), and

~ Perdita hurdi Timberlake). Mentum membranous or sclerotized; lorum scoop shaped, or Y

oS shaped with arms not as slender as in long tongued bees; mentum and lorum forming a lobe that
projects behind proboscis when proboscis is folded. Usually with paired subantennal sulci but",NA,NA,NA,NA
MMD,Text,~ single in males of some species of Protandrena and sometimes difficult to see in strongly,NA,NA,NA,NA
MMD,Text,"sculptured species. Facial fovea present in Andreninae (females) and Panurginae (females and
many males) but absent in Oxaeinae, conspicuously hairy in Andreninae but appearing smooth in ~
Panurginae. wy
NOTES ON THE BIOLOGY, PHYLOGENY, AND CLASSIFICATION. All andrenids are
solitary (or communal), ground-nesting bees. None are brood parasites. Many species are ~",NA,NA,NA,NA
MMD,Text,"univoltine with a narrow window of adult activity. Nearly all panurgines, many andrenines, but =
probably no oxaeines are oligolectic. All andrenines and oxaeines transport pollen dry but all wy
panurgines are agglutinators, either initially loading pollen dry onto the hind tibia then adding an VY
outer layer moistened with nectar (most species) or using nectar to glue all pollen to the sparsely",NA,NA,NA,NA
MMD,Text,"hairy hind tibia (e.g. many Perdita; see Portman et al. [2019] for a review of pollen transport in ~
bees). Vibratile pollen collection is rare in the Andreninae and Panurginae but apparently ad
universal among the Oxaeinae. The largest genera are Andrena and Perdita. A recent us
phylogenetic study by Bossert et al. (2021) provides a stable subfamilial and tribal classification",NA,NA,NA,NA
MMD,Text,"for this family, which we have followed here. ~
Andreninae —",NA,NA,NA,NA
MMD,Text,"1. Ancylandrena Cockerell: Similar to large, hairy, robust, nonmetallic Andrena; flocculus of ~
female hind trochanter entirely absent. Medium to large bees (8-15 mm). Rare. Xeric parts of ~
southern California to New Mexico, Baja California, and Sonora. Most Ancylandrena species are Y
specialists on legumes (Fabaceae). A. /arreae is a specialist on Larrea (Zygophyllaceae). ws",NA,NA,NA,NA
MMD,Text,Revision: Zavortink (1974). (couplets 44° and 472),NA,NA,NA,NA
MMD,Text,"2. Andrena Fabricius: Black or dull metallic blue or green, moderately hairy, andreniform [Figs. baad
421-424]; females with distinctive velvety facial foveae; sometimes with metasoma red, terga w
frequently with hair bands; propodeal scopa often well-developed; flocculus of female hind w
trochanter often well-developed; face sometimes with yellow marks, especially clypeus of males.",NA,NA,NA,NA
